store_name,Mean,Sum,Max,Cluster
EUCI SGAM ,114.36666666666667,3087.9,149.0,prata
EUGUSMI ,89.98918918918922,3329.6000000000013,159.9,ouro
EULARAI MRIPACIA,74.21338582677171,28275.30000000002,174.0,ouro
EURECA ,56.668715447154526,34851.26000000003,175.0,ouro
EURECA MPECILIMUS ,82.2,164.4,90.0,bronze
FAIARUMUI ,73.95222222222232,21298.240000000027,169.6,ouro
FAM RIRGUM ,131.30384615384617,1706.95,170.0,prata
FIPRACI EA MPECILIMU ,32.66829268292683,1339.4,57.0,bronze
FIRIFI CIRAICI ,60.92,243.68,89.28,bronze
FRUEOU ,62.40410383189202,50484.920000000646,149.8,ouro
FRUG FRIZUM ,28.09426229508197,6855.0,76.0,bronze
GAIVIMUI PIPO ,89.93744444444444,8094.37,168.88,ouro
GAMGS ,175.0,175.0,175.0,prata
GARIOLIS ,49.81203891709012,58877.830000000526,159.5,ouro
GARPI ,84.285,842.8499999999999,155.98,ouro
GASSA ,60.08382352941175,2042.8499999999997,169.5,ouro
GIMA ,54.469262295082345,93033.50000000064,172.5,ouro
GIMAMI ,45.6,228.0,50.0,bronze
GIOUG ,170.1,170.1,170.1,prata
GIPUMZIGUM ,105.42031358885073,60511.26000000032,174.8,prata
GIPUMZIGUM QSQ  ,84.9,169.8,84.9,bronze
GOI SIPIMUSU ,82.88252032520326,20389.100000000002,174.7,ouro
GRIME CRU ,117.82787499999992,18852.45999999999,173.86,prata
GRIME CRU AMIARO CIRUSI  ,89.91,179.82,99.9,bronze
GRIME CRU VALI MIVI CIMCUAMOI ,117.19200000000001,585.96,149.85,prata
GRIME CRU ZAGAUMAPILAS ,57.665,115.33,59.9,bronze
GRIMEVASAIM ,88.31218749999998,5651.979999999999,175.0,ouro
GRORAI RIMAI ,26.458000000000006,264.58000000000004,28.4,bronze
GUIAPUCI PURGUR ,34.79533645406671,59465.23,150.0,ouro
GUIRGUES ,38.252204472843566,35918.82000000011,125.4,ouro
GULIMI PIRULA ,71.51219512195122,11728.0,170.0,ouro
GULIMURAI RE ,72.40877914951989,52786.0,165.0,ouro
GUMOUA ,69.87200000000004,4891.040000000003,164.3,ouro
GUMOUA E ISIM ,59.9064260717408,136946.08999999947,174.8,ouro
I CISI DA PAMPE ,77.79989361702127,7313.19,174.32,ouro
I CISI DA PRUSI ,61.33863636363637,5397.8,151.8,ouro
I PIMACIRAI ,101.32243243243248,3748.9300000000017,161.5,prata
IAMUR ,23.6,23.6,23.6,bronze
IARIZOR FAM ,56.49818181818182,621.48,105.7,bronze
IASZPILITA ,48.5706034482758,11268.379999999985,155.98,ouro
ICI EU SIVEMI ,55.970624999999984,8059.769999999998,135.65,ouro
IEPISMI ,62.66004820567687,116986.30999999872,174.11,ouro
IGUAI VUMURAMIRAI ,103.12173913043479,2371.8,169.8,prata
ILACU SILIZIR ,96.02,672.14,149.88,prata
ILAPIARUGAIMI ,47.62222222222222,2571.6,129.8,ouro
ILAVI ,66.01522727272724,5809.339999999997,167.63,ouro
ILUIMIRO ,156.5666666666667,469.70000000000005,169.9,prata
ILUMGI PRISMAUS ,58.388888888888886,1051.0,80.5,bronze
ILZI I TRAPRIS ,16.966666666666665,101.8,26.8,bronze
IMACIS CIRIA,50.0,50.0,50.0,bronze
IMI MURUZI ,119.95625000000001,2878.9500000000003,163.9,prata
IMIA CIMCUPM ,35.46810344827565,14400.049999999914,95.6,bronze
IMIA VAMOI RISI ,30.22448998178507,33186.490000000005,170.0,ouro
IMICIPRA ,100.11515151515145,6607.599999999996,169.9,prata
IMIUGA VUGIMI ,59.4901234567901,19274.799999999992,174.4,ouro
IMO IMO ,135.25266666666667,2028.7900000000002,169.0,prata
IMRISFURI SPIRM MUMRAMAIM ,138.0,552.0,169.0,prata
IMUI PUGIVI ,129.0,258.0,129.0,prata
IPALUPAES ,90.84185668789637,285243.4299999946,174.9,ouro
IPIQA ,155.0,155.0,155.0,prata
IPUPIEMAI ,83.0883888620744,1032456.3200001365,175.0,ouro
IRIR OIS PUOUMIS ,102.90711111111108,4630.819999999999,174.75,prata
IRMU UR RUMILZIS ,138.304,691.52,149.0,prata
IRMURAZI SIAIS ,30.0,30.0,30.0,bronze
IRULAU CRUPURAU ,83.02994011976048,13866.0,168.0,ouro
IRUZZI ,118.07466666666672,3542.2400000000016,169.9,prata
ISIM ,57.93135007849102,221413.6199999927,174.9,ouro
ISIM O RIRARIRA ,47.34588025889878,146298.76999999722,173.6,ouro
ISZUI ,116.41808510638299,5471.650000000001,170.82,prata
IUMPICA ,95.20877475746613,6143441.400000259,174.9,Melhor Cliente
IUMZUMUAC FAM ,112.99000000000001,451.96000000000004,146.98,prata
IVIMAR ,105.41339285714284,5903.149999999999,171.0,prata
